Geneid,wt_CON,wt_DOX
ENSMUSG00000000001,7551,6526
ENSMUSG00000000028,185,79
ENSMUSG00000000031,2,8
ENSMUSG00000000037,22,17
ENSMUSG00000000049,0,0
ENSMUSG00000000056,2361,1534
ENSMUSG00000000058,5699,5625
ENSMUSG00000000078,23460,15318
ENSMUSG00000000085,834,593
ENSMUSG00000000088,3864,1639
ENSMUSG00000000093,10,18
ENSMUSG00000000094,0,2
ENSMUSG00000000120,4,6
ENSMUSG00000000125,2,0
ENSMUSG00000000126,18,70
ENSMUSG00000000127,1411,818
ENSMUSG00000000131,4705,3994
ENSMUSG00000000134,7608,5246
ENSMUSG00000000142,6,4
ENSMUSG00000000148,1020,684
ENSMUSG00000000149,7427,6551
ENSMUSG00000000154,130,29
ENSMUSG00000000167,35,20
ENSMUSG00000000168,2448,2218
ENSMUSG00000000171,5734,4189
ENSMUSG00000000182,0,0
ENSMUSG00000000183,0,6
ENSMUSG00000000184,8,392
ENSMUSG00000000194,6108,4762
ENSMUSG00000000202,0,0
ENSMUSG00000000204,3861,484
ENSMUSG00000000214,0,0
ENSMUSG00000000215,0,0
ENSMUSG00000000216,0,2
ENSMUSG00000000223,4,0
ENSMUSG00000000244,533,418
ENSMUSG00000000247,2,2
ENSMUSG00000000248,8,7
ENSMUSG00000000253,256,148
ENSMUSG00000000263,0,0
ENSMUSG00000000266,6,48
ENSMUSG00000000275,18744,19129
ENSMUSG00000000276,841,644
ENSMUSG00000000278,13862,15460
ENSMUSG00000000282,2726,2871
ENSMUSG00000000290,86504,29046
ENSMUSG00000000295,303,138
ENSMUSG00000000296,0,1
ENSMUSG00000000301,84,54
ENSMUSG00000000303,4,2
ENSMUSG00000000305,2,2
ENSMUSG00000000308,2,14
ENSMUSG00000000317,2,2
ENSMUSG00000000318,78,291
ENSMUSG00000000320,13,129
ENSMUSG00000000326,4171,2302
ENSMUSG00000000339,1173,907
ENSMUSG00000000340,1290,766
ENSMUSG00000000346,25634,16138
ENSMUSG00000000355,1458,1275
ENSMUSG00000000359,2,13
ENSMUSG00000000365,73,62
ENSMUSG00000000374,4768,3667
ENSMUSG00000000378,1846,1442
ENSMUSG00000000381,0,0
ENSMUSG00000000384,1349,1281
ENSMUSG00000000385,4,10
ENSMUSG00000000386,2351,1051
ENSMUSG00000000392,81,37
